sender,receiver,subject,session,condition,moralCondition,condition2,neighbor
Participant E,Participant D,68,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant J,Participant I,69,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant F,Participant E,70,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant G,Participant F,71,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant I,Participant H,72,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant K,Participant J,73,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant A,Participant L,74,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant L,Participant K,75,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant B,Participant A,76,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant C,Participant B,77,wyk984vb,gunsR,neutral,gunsR_neutral,n2
Participant G,Participant H,1,0vz6af17,guns,outrage,guns_outrage,n3
Participant K,Participant L,2,0vz6af17,guns,outrage,guns_outrage,n3
Participant J,Participant K,3,0vz6af17,guns,outrage,guns_outrage,n3
Participant F,Participant G,4,0vz6af17,guns,outrage,guns_outrage,n3
Participant H,Participant I,5,0vz6af17,guns,outrage,guns_outrage,n3
Participant C,Participant D,6,0vz6af17,guns,outrage,guns_outrage,n3
Participant B,Participant C,7,0vz6af17,guns,outrage,guns_outrage,n3
Participant I,Participant J,8,0vz6af17,guns,outrage,guns_outrage,n3
Participant L,Participant A,9,0vz6af17,guns,outrage,guns_outrage,n3
Participant E,Participant F,10,0vz6af17,guns,outrage,guns_outrage,n3
Participant A,Participant B,11,0vz6af17,guns,outrage,guns_outrage,n3
Participant H,Participant I,12,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant B,Participant C,13,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant K,Participant L,14,2djdfaey,gunsR,outrage,gunsR_outrage,n3
Participant I,Participant J,15,2djdfaey,gunsR,outrage,gunsR_outrage,n3
